"","Name...1","cest33 neg endo ms2 1","cest33 neg endo ms2 2","cest33 neg exo ms2 1","cest33 neg exo ms2 2","neg glo1 endo ms2 top5","neg glo1 exo ms2 top5","neg n2 endo ms2 top5","neg n2 exo ms2 top5","Group","Size","Name...12","Mass","m/z","RT","Adduct","Name...17","name","formula","adduct","evidence","MSI Level","Comment","ChEBI ID","SIRIUS_molecularFormula","SIRIUS_adduct"
"5386","Cluster_5386",1186679.125,1226769,2534470,1577474.625,NA,NA,NA,NA,"4068",2,"Cluster_5386",521.917631975534,520.910355975534,24.525176491912,"M-H","Cluster_5386",NA,NA,NA,NA,NA,NA,NA,"C8H14O18P4|C18H2O19|C10H8N2O19P2|C15H9O15P3|C9H10N4O14P4|C9H9N4O16P3|C8H13O20P3|C11H4N6O15P2|C12H6N6O12S3|C7H15N2O15P5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5387","Cluster_5387",NA,137905.34375,26936.66015625,NA,NA,NA,NA,NA,"4113",2,"Cluster_5387",526.367678729796,525.360402729796,23.5176966687488,"M-H","Cluster_5387",NA,NA,NA,NA,NA,NA,NA,"",""
"5388","Cluster_5388",NA,137905.34375,26936.66015625,NA,NA,NA,NA,NA,"4114",2,"Cluster_5388",526.367678729796,525.360402729796,23.5176966687488,"M-H","Cluster_5388",NA,NA,NA,NA,NA,NA,NA,"",""
"5389","Cluster_5389",NA,428543.1875,2234842.25,1803612.875,NA,NA,NA,NA,"4128",2,"Cluster_5389",529.113060313686,528.105784313686,10.1121887354709,"M-H","Cluster_5389",NA,NA,NA,NA,NA,NA,NA,"",""
"5390","Cluster_5390",NA,NA,NA,NA,NA,NA,928639.625,NA,"4147",2,"Cluster_5390",531.088982771162,530.081706771162,10.8565489355271,"M-H","Cluster_5390",NA,NA,NA,NA,NA,NA,NA,"C18H23N5O10P2|C24H22NO11P|C19H22N3O13P|C20H18N7O9P|C14H19N11O8P2|C13H23N7O12P2|C12H24N9O9P3|C16H14N13O7P|C18H24N5O8P3|C15H18N9O11P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5391","Cluster_5391",1297439.25,1299888.25,NA,NA,NA,NA,NA,NA,"4149",2,"Cluster_5391",531.091192887731,530.083916887731,11.3111414623623,"M-H","Cluster_5391",NA,NA,NA,NA,NA,NA,NA,"C18H23N5O10P2|C24H22NO11P|C19H22N3O13P|C20H18N7O9P|C21H26NO11PS|C17H22N7O9PS|C16H26N3O13PS|C17H27NO14P2|C13H22N7O14P|C25H18N5O7P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5392","Cluster_5392",539095.5,903793.8125,NA,NA,395892.25,NA,773094.875,NA,"4158",3,"Cluster_5392",531.259466080944,530.252190080943,12.9691465955011,"M-H","Cluster_5392",NA,NA,NA,NA,NA,NA,NA,"C25H42NO9P|C21H38N7O7P|C20H42N3O11P|C19H43N5O8P2|C24H43N3O6P2|C15H38N11O8P|C18H42N7O7PS|C26H38N5O5P|C29H39O9|C28H33N7O4","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5393","Cluster_5393",108795.71875,81631.3125,NA,NA,474592.65625,NA,507626.84375,NA,"4157",2,"Cluster_5393",531.258933248243,530.251657248243,13.4491100348334,"M-H","Cluster_5393",NA,NA,NA,NA,NA,NA,NA,"C25H42NO9P|C20H42N3O11P|C19H43N5O8P2|C21H38N7O7P|C21H45N2O9P2|C23H40N4O8P|C18H42N7O7PS|C18H40N6O10P|C22H37N5O10|C27H37N3O8","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5394","Cluster_5394",2706365.75,1832052.875,NA,NA,NA,NA,NA,NA,"4189",2,"Cluster_5394",535.182831036942,534.175555036942,8.70147339171932,"M-H","Cluster_5394",NA,NA,NA,NA,NA,NA,NA,"C22H34NO12P|C16H35N5O11P2|C18H30N7O10P|C17H31N9O7P2|C23H30N5O8P|C19H26N11O6P|C24H26N9O4P|C21H35N3O9P2|C22H31N7O5P2|C19H40NO10P3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5395","Cluster_5395",692002.9375,989638.8125,NA,121477.65625,NA,66181.1875,NA,NA,"101",3,"Cluster_5395",491.255322844063,536.253525844063,16.199870526092,"M+FA-H","Cluster_5395",NA,NA,NA,NA,NA,NA,NA,"",""
