Name;name;formula;adduct;evidence;m/z;RT
Cluster_0313;;;;;138.0199804;10.67083615
Cluster_0314;;;;;138.0181785;10.70155559
Cluster_0315;;;;;138.0183389;10.89604862
Cluster_0316;;;;;138.0197095;10.93210425
Cluster_0317;;;;;138.0196086;11.79644647
Cluster_0318;;;;;138.0184361;11.84970927
Cluster_0319;;;;;138.0183896;11.8885946
Cluster_0320;;;;;138.0197122;11.99205878
Cluster_0321;;;;;138.0199399;12.08044108
Cluster_0322;;;;;138.0200438;12.18560529
Cluster_0323;;;;;138.0197608;12.24663608
Cluster_0324;;;;;138.019817;13.32136573
Cluster_0325;;;;;138.0196752;13.39016474
Cluster_0326;;;;;138.0196437;14.38827365
Cluster_0327;;;;;138.0195209;14.47038815
Cluster_0328;;;;;138.0199705;14.581871
Cluster_0329;;;;;138.018469;14.59863535
Cluster_0330;;;;;138.0196607;14.66560356
Cluster_0331;;;;;138.0200526;14.80226115
Cluster_0332;;;;;138.0197168;14.91696054
Cluster_0333;;;;;138.0184497;14.94182325
Cluster_0334;;;;;138.0184799;14.96242511
Cluster_0335;;;;;138.0196736;16.72889514
Cluster_0336;;;;;138.0195911;16.74535123
Cluster_0337;;;;;138.0182095;16.85083917
Cluster_0338;;;;;138.0196699;16.90393877
Cluster_0339;;;;;138.0196718;17.09702461
Cluster_0340;;;;;138.0196682;17.14193746
Cluster_0341;;;;;138.0196253;18.2241646
Cluster_0342;;;;;138.0183239;18.34176131
Cluster_0343;;;;;138.0197955;18.49830269
Cluster_0344;;;;;138.0195789;18.53559799
Cluster_0345;;;;;138.0197158;18.62026208
Cluster_0346;;;;;138.0195031;18.7135285
Cluster_0347;;;;;138.0184538;18.86751297
Cluster_0348;;;;;138.0195784;5.577305344
Cluster_0349;;;;;138.0196931;5.625290552
Cluster_0350;;;;;138.0180192;7.828946041
Cluster_0351;;;;;138.019587;8.201845024
Cluster_0352;;;;;138.0195531;17.23103494
Cluster_0353;;;;;138.0197401;17.30546356
Cluster_0354;;;;;138.0195466;17.33429302
Cluster_0355;;;;;138.0196026;17.34697536
Cluster_0356;;;;;138.0196598;17.59643688
Cluster_0357;;;;;138.0196246;17.71627167
Cluster_0358;;;;;138.0197101;17.82258948
Cluster_0359;;;;;138.0197559;17.95022727
Cluster_0360;;;;;138.0196843;17.98008791
Cluster_0361;;;;;138.0195548;18.02136928
Cluster_0362;;;;;138.019834;5.17744189
Cluster_0363;;;;;138.019587;8.201845024
Cluster_0364;;;;;138.0198535;8.253888195
Cluster_0365;;;;;138.019791;8.29245627
Cluster_0366;;;;;138.0197013;8.350160959
Cluster_0367;;;;;138.0195397;8.385265794
Cluster_0368;;;;;138.0184035;8.43852467
Cluster_0369;;;;;138.0183922;8.465289436
Cluster_0370;;;;;138.0184778;8.711716667
Cluster_0371;;;;;138.0198588;2.081895717
Cluster_0372;;;;;138.0540087;2.206186548
Cluster_0373;;;;;138.0197314;2.328040307
Cluster_0374;;;;;138.0196127;2.390910064
Cluster_0375;;;;;138.0558701;2.512495125
Cluster_0376;;;;;138.0263859;4.982214444
Cluster_0377;;;;;138.019834;5.17744189
Cluster_0378;;;;;138.055668;5.269055455
