"","Row","m.z","RT","Annotation","formula","adduct","evidence","SIRIUS_molecularFormula","SIRIUS_adduct"
"3058","Cluster_3058",437.2158146,5.115738081,"","",NA,NA,"C18H34N2O10|C17H35N4O7P|C19H30N6O6|C21H32N3O7|C20H26N10O2|C18H31N8O3P|C19H37NO8P|C13H31N10O5P|C15H33N7O6P|C16H29N11O2P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3059","Cluster_3059",437.2160355,11.76991176,"","",NA,NA,"",""
"3060","Cluster_3060",437.2160453,11.8358057,"","",NA,NA,"",""
"3061","Cluster_3061",437.2421708,8.238941658,"","",NA,NA,"",""
"3062","Cluster_3062",437.2421708,8.238941658,"","",NA,NA,"",""
"3063","Cluster_3063",437.3081216,17.3182347,"","",NA,NA,"C22H46O8|C18H42N6O6|C29H42O3|C19H38N10O2|C15H34N16|C20H47N4O2PS|C14H38N12O4|C22H47O6P|C23H43N4O2P|C21H48N2O3P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3064","Cluster_3064",437.4000988,21.59686814,"","",NA,NA,"C28H54O3|C24H50N6O|C16H48N13O|C26H52N3O2|C14H46N16|C31H52N|C27H55N2P|C22H48N9","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3065","Cluster_3065",438.1396615,6.753303746,"","",NA,NA,"C12H27N3O12S|C14H24N5O9P|C15H28N5O4PS2|C12H29N3O10P2|C11H28N5O9PS|C14H19N11O4S|C18H21N4O9|C16H26N2O10P|C11H29N6O6S3|C15H25N4O9S","[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+"
"3066","Cluster_3066",438.2623536,13.954921,"","",NA,NA,"",""
"3067","Cluster_3067",438.2640201,14.04515355,"","",NA,NA,"",""
"3068","Cluster_3068",438.2635228,14.58507882,"","",NA,NA,"C20H42NO7P|C21H38N5O3P|C23H33N7O2|C25H35N4O3|C15H37N9O4S|C22H37N3O6|C19H43N3O4P2|C16H38N7O5P|C27H37NO4|C17H39N6O5S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3069","Cluster_3069",438.1979942,15.33276332,"","",NA,NA,"",""
"3070","Cluster_3070",438.2635228,14.58507882,"","",NA,NA,"",""
"3071","Cluster_3071",438.2640899,14.78078597,"","",NA,NA,"",""
"3072","Cluster_3072",438.2642164,14.84229067,"","",NA,NA,"",""
"3073","Cluster_3073",438.2642024,14.91330084,"","",NA,NA,"",""
"3074","Cluster_3074",438.2642352,15.06279378,"","",NA,NA,"",""
"3075","Cluster_3075",438.1979942,15.33276332,"","",NA,NA,"",""
"3076","Cluster_3076",438.2624147,13.94901456,"","",NA,NA,"",""
"3077","Cluster_3077",438.2640201,14.04515355,"","",NA,NA,"",""
"3078","Cluster_3078",438.2640899,14.78078597,"","",NA,NA,"",""
"3079","Cluster_3079",438.2642164,14.84229067,"","",NA,NA,"",""
"3080","Cluster_3080",438.2642024,14.91330084,"","",NA,NA,"",""
"3081","Cluster_3081",438.2642352,15.06279378,"","",NA,NA,"",""
"3082","Cluster_3082",439.2184535,8.84718425,"","",NA,NA,"C18H35N2O8P|C16H33N5O7P|C19H31N6O4P|C10H34N9O6P2|C13H30N10O5S|C20H30N4O7|C19H34O11|C15H34N7O4P2|C9H33N11O5PS|C21H26N8O3","[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+"
"3083","Cluster_3083",439.1963938,4.9631816,"","",NA,NA,"C18H28N6O7|C19H24N10O3|C14H31N7O7P|C16H33N4O8P|C17H29N8O4P|C20H30N3O8|C15H32N6O7S|C11H28N12O5S|C21H26N7O4|C13H30N9O6S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3084","Cluster_3084",439.1963927,5.0109469,"","",NA,NA,"",""
"3085","Cluster_3085",439.2016104,8.462498962,"","",NA,NA,"",""
"3086","Cluster_3086",439.2315844,11.11306721,"","",NA,NA,"C19H32N6O6|C23H36O8|C17H37N4O7P|C18H36N2O10|C21H34N3O7|C13H33N10O5P|C15H35N7O6P|C20H43O4P3|C15H28N12O4|C24H32N4O4","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3087","Cluster_3087",439.2322416,11.242119,"","",NA,NA,"C19H32N6O6|C23H36O8|C17H37N4O7P|C21H34N3O7|C18H36N2O10|C13H33N10O5P|C15H35N7O6P|C24H32N4O4|C20H43O4P3|C15H28N12O4","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3088","Cluster_3088",439.2316105,11.55043128,"","",NA,NA,"",""
"3089","Cluster_3089",439.2318182,11.69605777,"","",NA,NA,"C19H32N6O6|C17H37N4O7P|C23H36O8|C21H34N3O7|C15H28N12O4|C24H32N4O4|C18H36N2O10|C15H35N7O6P|C13H33N10O5P|C12H32N12O4S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3090","Cluster_3090",439.231888,12.86940446,"","",NA,NA,"C19H32N6O6|C18H36N2O10|C19H40N2O5S2|C17H37N4O7P|C21H34N3O7|C13H33N10O5P|C23H36O8|C16H36N6O6S|C15H28N12O4|C16H34N5O9","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3091","Cluster_3091",439.2318744,13.1201826,"","",NA,NA,"C19H32N6O6|C18H36N2O10|C17H37N4O7P|C19H40N2O5S2|C23H36O8|C21H34N3O7|C13H33N10O5P|C20H41O6PS|C16H36N6O6S|C17H30N9O5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3092","Cluster_3092",439.2318182,11.69605777,"","",NA,NA,"",""
"3093","Cluster_3093",439.2316707,11.98932599,"","",NA,NA,"C19H32N6O6|C21H34N3O7|C17H37N4O7P|C12H32N12O4S|C24H32N4O4|C16H36N6O6S|C15H35N7O6P|C13H33N10O5P|C23H36O8|C19H40N2O5S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3094","Cluster_3094",439.2319428,12.09217141,"","",NA,NA,"C14H32N9O5S|C16H34N6O6S|C17H35N4O7P|C19H37NO8P|C22H36N3O2S2|C8H33N13O4PS|C23H34O8|C18H39N4O2PS2|C18H31N8O3P|C7H32N15O3S2","[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+"
"3095","Cluster_3095",439.2319443,13.69933135,"","",NA,NA,"C19H32N6O6|C18H36N2O10|C23H36O8|C13H33N10O5P|C17H37N4O7P|C21H34N3O7|C19H40N2O5S2|C20H41O6PS|C15H35N7O6P|C17H30N9O5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3096","Cluster_3096",439.231936,13.85760564,"","",NA,NA,"",""
"3097","Cluster_3097",439.2319255,13.70843599,"","",NA,NA,"",""
"3098","Cluster_3098",439.231936,13.85760564,"","",NA,NA,"",""
"3099","Cluster_3099",439.2520903,21.7736623,"","",NA,NA,"C17H32N10O4|C16H36N6O8|C15H30N13O3|C18H38N3O9|C26H37N2O2P|C27H36O5|C28H32N4O|C24H42O3P2|C30H34NO2|C20H40O10","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3100","Cluster_3100",439.4177276,21.76194814,"","",NA,NA,"",""
"3101","Cluster_3101",439.4160279,21.90946592,"","",NA,NA,"",""
"3102","Cluster_3102",440.1136508,10.66417355,"","",NA,NA,"C18H25N3O6P2|C19H24NO9P|C20H20N5O5P|C12H28NO14P|C16H30NO7P3|C14H21N9O4P2|C13H25N5O8P2|C11H30N3O9P3|C13H32O10P3|C16H23N6O5P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3103","Cluster_3103",440.1136735,9.787216312,"","",NA,NA,"C18H25N3O6P2|C19H24NO9P|C20H20N5O5P|C12H24N7O7PS|C14H21N9O4P2|C12H26N7O5P3|C20H28NO4PS2|C16H23N6O5P2|C15H27N2O9P2|C14H26N4O8PS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3104","Cluster_3104",440.234483,11.19866642,"","",NA,NA,"",""
"3105","Cluster_3105",440.252501,5.82663926,"","",NA,NA,"C20H35N5O6|C14H36N9O5P|C13H35N11O4S|C18H40N3O7P|C16H38N6O6P|C18H33N8O5|C15H37N8O5S|C16H31N11O4|C25H35N3O4|C10H31N15O5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3106","Cluster_3106",440.1862144,8.624048712,"","",NA,NA,"C23H27N3O6|C16H27N9O4S|C19H30N4O6P|C15H33N5O6P2|C26H25N4O3|C22H28N5O3P|C14H32N7O5PS|C18H29N6O5S|C20H31N3O6S|C24H23N7O2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3107","Cluster_3107",440.2343613,11.11269042,"","",NA,NA,"",""
"3108","Cluster_3108",440.2358638,11.24066945,"","",NA,NA,"",""
"3109","Cluster_3109",440.2436626,13.02777516,"","",NA,NA,"",""
