Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_3171,600.3250634,2.860206542,,,,,No,yes,GPNAE(15:0)+C6H10O5,C26H52NO12P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.06287829999997,1
Cluster_3258,608.2841798,4.48482769,,,,,Yes,yes,GPNAE(16:3)+C6H10O5,C27H48NO12P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05320299999994,1
Cluster_3259,608.2840771,4.584256584,,,,,No,no,GPNAE(16:3)+C6H10O5,C27H48NO12P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05310029999998,1
Cluster_3307,612.3144171,3.211667986,,,,,No,yes,GPNAE(16:1)+C6H10O5,C27H52NO12P,Cluster_1615,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.0511128,1
Cluster_3308,612.3158867,4.977788108,,C27H52NO12P,[M - H]-,MS2,Yes,yes,GPNAE(16:1)+C6H10O5,C27H52NO12P,Cluster_1615,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05258239999995,1
Cluster_3309,612.3156389,5.072282189,,,,,Yes,yes,GPNAE(16:1)+C6H10O5,C27H52NO12P,Cluster_1615,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05233459999994,1
Cluster_3456,626.3306653,5.29294539,,,,,No,yes,GPNAE(17:1)+C6H10O5,C28H54NO12P,Cluster_1749,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05264859999994,1
Cluster_3518,632.2604888,4.621613862,,,,,Yes,no,GPNAE(18:5)+-162.053,NA,Cluster_1813,1_layer_gnps,simil:0.8591; mzdiff:NA; homol HSID:NA; homol RT:NA,NA,-162.02954259999996,1
Cluster_3535,634.2998205,4.707754923,,C29H50NO12P,[M - H]-,MS2,Yes,yes,GPNAE(18:4)+C6H10O5,C29H50NO12P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.0533731,1
Cluster_3536,634.2997339,4.885152542,,,,,Yes,no,GPNAE(18:4)+C6H10O5,C29H50NO12P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05328649999996,1
Cluster_3537,634.2989808,3.763797167,,,,,Yes,no,GPNAE(18:4)+C6H10O5,C29H50NO12P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05253339999996,1
Cluster_3542,634.3054887,4.173212867,,,,,No,yes,GPNAE(18:4)+C6H10O5,C29H50NO12P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05904129999993,1
Cluster_3555,636.315184,3.615128512,,,,,Yes,yes,GPNAE(18:3)+C6H10O5,C29H52NO12P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05269380000004,1
